Frame,psnr,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,ssim,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
167,47.315309,6.541111,10.731541,0.991001,0.988601,0.977014,0.990781,0.995164,0.997428,0.819946,0.966873,0.983264,0.990408,100.000000,
168,46.118780,6.541111,6.541111,0.987297,0.981716,0.973896,0.985264,0.993117,0.996471,0.797808,0.951960,0.974197,0.984870,100.000000,
169,46.203989,7.827611,7.827611,0.990006,0.984156,0.968991,0.990466,0.996180,0.996419,0.802377,0.953613,0.974461,0.984125,100.000000,
170,47.160710,8.196656,9.209763,0.991479,0.983781,0.973233,0.992768,0.996791,0.997401,0.815200,0.967845,0.983723,0.990541,100.000000,
171,46.283022,7.174245,8.196656,0.987695,0.981998,0.965862,0.986016,0.995072,0.996826,0.802633,0.954981,0.975575,0.985361,100.000000,
172,46.434041,7.174245,7.174245,0.991375,0.984119,0.973983,0.990386,0.997515,0.996843,0.806787,0.956061,0.976030,0.984877,100.000000,
173,46.983819,7.318531,8.981410,0.990942,0.981976,0.974917,0.990095,0.997341,0.997488,0.812734,0.966103,0.983117,0.990322,100.000000,
174,46.371641,7.318531,7.318531,0.988792,0.981370,0.970363,0.987199,0.996082,0.996716,0.806762,0.953357,0.974257,0.984314,100.000000,
175,46.214782,9.141627,9.692336,0.987328,0.977379,0.966552,0.985550,0.995632,0.996637,0.800038,0.956715,0.977757,0.986549,100.000000,
176,45.684743,9.141627,9.141627,0.985588,0.980044,0.967384,0.984787,0.992270,0.995955,0.790830,0.944099,0.968914,0.980527,100.000000,
177,45.675602,11.727240,11.727240,0.986447,0.979615,0.966474,0.982738,0.995302,0.995982,0.785912,0.943962,0.969500,0.981267,100.000000,
178,46.989895,7.843763,13.229066,0.992728,0.984498,0.976528,0.992944,0.998595,0.997291,0.804443,0.965019,0.982647,0.989923,100.000000,
179,44.976969,7.792847,7.843763,0.983694,0.978001,0.959169,0.981556,0.992191,0.995997,0.766500,0.937265,0.964690,0.978085,100.000000,
180,47.007005,7.792847,7.792847,0.991485,0.984227,0.980332,0.990628,0.996333,0.997196,0.808757,0.963391,0.981296,0.988837,100.000000,
181,45.650864,10.354532,10.354532,0.984305,0.980635,0.965179,0.979196,0.992270,0.996165,0.780260,0.941541,0.967838,0.980490,100.000000,
182,46.280288,6.313164,11.155352,0.986829,0.979791,0.966583,0.984349,0.994588,0.996647,0.790614,0.953212,0.975678,0.985635,100.000000,
