Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
152,10.013959,10.013959,47.734201,0.997553,0.983236,0.980444,0.968773,0.979822,0.989964,0.831304,0.961653,0.980313,0.988415,100.000000,
153,2.877832,10.316308,47.755148,0.997730,0.986473,0.983783,0.974004,0.983014,0.993087,0.834636,0.967015,0.983629,0.990540,96.629579,
154,2.877832,2.877832,47.853720,0.997676,0.989679,0.983620,0.975130,0.988937,0.996117,0.836014,0.967666,0.984078,0.990828,97.375422,
155,7.263321,7.263321,47.422427,0.997291,0.985869,0.979075,0.968031,0.983120,0.994320,0.820052,0.962496,0.980948,0.988488,100.000000,
156,8.703089,8.949799,47.326955,0.997403,0.987220,0.982093,0.970433,0.983462,0.995285,0.817254,0.960731,0.979742,0.987699,100.000000,
157,8.703089,8.703089,46.956181,0.997325,0.982682,0.976876,0.966620,0.979950,0.990466,0.807978,0.958613,0.978879,0.987471,100.000000,
158,8.748050,8.748050,47.059764,0.997425,0.984488,0.981366,0.971871,0.981197,0.990513,0.814138,0.959145,0.978815,0.987230,100.000000,
159,8.890134,8.890134,46.072683,0.996976,0.981034,0.978303,0.965410,0.975917,0.988866,0.791622,0.950176,0.973830,0.984442,100.000000,
160,12.011338,12.011338,46.940196,0.997530,0.985566,0.981272,0.966590,0.979909,0.994997,0.806397,0.960752,0.980637,0.989002,100.000000,
161,12.930285,14.192577,46.273586,0.997480,0.983029,0.977875,0.958798,0.976497,0.994088,0.791619,0.956872,0.978894,0.987946,100.000000,
162,8.700209,12.930285,46.041531,0.997549,0.983769,0.979744,0.961642,0.980996,0.991945,0.789401,0.956236,0.978181,0.987544,100.000000,
163,8.700209,8.700209,46.203453,0.997468,0.984571,0.981027,0.965357,0.981853,0.991588,0.789639,0.956776,0.978609,0.987922,100.000000,
164,5.876747,9.049299,46.434476,0.997618,0.983350,0.980974,0.965735,0.980734,0.989559,0.797843,0.958338,0.979401,0.988578,99.339520,
165,5.876747,5.876747,46.104798,0.997614,0.986746,0.979877,0.969932,0.986076,0.993021,0.791629,0.957009,0.978463,0.987900,99.974572,
166,9.105796,9.105796,46.508869,0.997843,0.987197,0.982222,0.963498,0.985480,0.995335,0.798005,0.964086,0.982888,0.990786,100.000000,
167,6.541111,10.731541,46.634743,0.998013,0.985682,0.978352,0.968658,0.982045,0.993471,0.801935,0.966088,0.983926,0.991004,100.000000,
168,6.541111,6.541111,46.819061,0.998031,0.987262,0.979922,0.973079,0.984459,0.994082,0.807555,0.967438,0.984544,0.991611,100.000000,
169,7.827611,7.827611,46.861416,0.997967,0.989161,0.982175,0.966526,0.987612,0.997023,0.807541,0.968091,0.984931,0.991794,100.000000,
170,8.196656,9.209763,46.647589,0.998053,0.985163,0.977018,0.964677,0.983304,0.992762,0.802662,0.966882,0.983936,0.991158,100.000000,
171,7.174245,8.196656,46.877813,0.998041,0.986234,0.980580,0.963133,0.984292,0.994042,0.809169,0.967528,0.984449,0.991382,100.000000,
172,7.174245,7.174245,46.614474,0.997882,0.987908,0.980553,0.967781,0.985947,0.995213,0.802816,0.965244,0.983356,0.990692,100.000000,
