Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
115,2.946291,4.782957,38.572748,0.990102,0.970910,0.947413,0.948696,0.971610,0.988605,0.543258,0.913267,0.959944,0.976476,91.159116,
116,2.946291,2.946291,39.042742,0.990592,0.973177,0.955087,0.952606,0.973693,0.988688,0.560264,0.916470,0.961696,0.977626,91.796502,
117,0.028962,4.050236,39.439084,0.992018,0.974698,0.955186,0.953461,0.974802,0.990919,0.576247,0.924643,0.965370,0.980039,88.865175,
118,0.028962,0.028962,39.439845,0.992048,0.974650,0.955070,0.953239,0.974828,0.990921,0.576892,0.924531,0.965397,0.980075,88.857409,
119,3.339502,4.977678,39.057234,0.991371,0.973576,0.953666,0.952974,0.973339,0.989529,0.567188,0.916022,0.960698,0.977130,92.265347,
120,3.339502,3.339502,39.139311,0.992166,0.972056,0.949493,0.950282,0.970230,0.990549,0.576213,0.918739,0.961347,0.977019,91.953178,
121,0.030867,5.893514,39.764970,0.993235,0.976777,0.956226,0.956521,0.978447,0.991425,0.593385,0.928337,0.968493,0.981840,89.565052,
122,0.030867,0.030867,40.034862,0.993828,0.977730,0.957433,0.958518,0.979733,0.991555,0.605495,0.932524,0.970344,0.983040,89.932675,
123,3.877090,6.060502,40.036228,0.994168,0.977253,0.958419,0.957742,0.978999,0.991345,0.613258,0.934372,0.970344,0.982638,94.569292,
124,3.877090,3.877090,40.049501,0.993957,0.977549,0.960668,0.957717,0.978035,0.992003,0.614473,0.932478,0.969804,0.982238,94.572041,
125,0.009685,6.156541,40.364111,0.994908,0.977777,0.960025,0.958405,0.980305,0.990891,0.634472,0.939533,0.972640,0.983828,90.046289,
126,0.009685,0.009685,40.546653,0.995200,0.978729,0.960870,0.960308,0.981546,0.991191,0.641354,0.941895,0.973800,0.984507,90.351337,
127,3.963222,6.511580,40.727888,0.995111,0.979384,0.963929,0.962418,0.979747,0.992148,0.645420,0.942429,0.974114,0.985074,95.503412,
128,3.963222,3.963222,40.770363,0.995232,0.980476,0.964866,0.963737,0.981531,0.992708,0.647751,0.942335,0.973703,0.984537,95.678363,
129,0.015784,6.135956,41.084763,0.995759,0.982035,0.966079,0.967553,0.984621,0.992400,0.657292,0.950369,0.978594,0.988090,91.568230,
130,0.015784,0.015784,41.286313,0.996010,0.982835,0.967261,0.969120,0.985366,0.992735,0.665474,0.952045,0.979292,0.988493,91.797362,
131,4.087010,6.419744,41.365803,0.995817,0.982914,0.968877,0.969429,0.983978,0.993403,0.668037,0.950746,0.978533,0.987742,96.850470,
132,4.087010,4.087010,40.875599,0.995380,0.981441,0.967039,0.966521,0.983143,0.992193,0.653445,0.943425,0.974722,0.985457,96.158899,
133,0.013644,6.752661,40.947817,0.995652,0.981612,0.966182,0.966992,0.983199,0.992804,0.659788,0.946154,0.975831,0.985699,91.145682,
134,0.013644,0.013644,40.944772,0.995648,0.981626,0.966105,0.966985,0.983161,0.992899,0.659700,0.945960,0.975762,0.985697,91.145095,
135,3.324042,6.147739,39.722256,0.993645,0.976159,0.962203,0.961355,0.975279,0.988917,0.616753,0.924253,0.963706,0.978079,92.980973,
136,3.324042,3.324042,39.901212,0.994011,0.977323,0.962847,0.961454,0.976211,0.990781,0.618419,0.928788,0.967179,0.980687,93.599990,
137,0.015166,3.498574,39.901053,0.994305,0.976465,0.961106,0.961360,0.976548,0.989116,0.618802,0.932043,0.969546,0.982096,89.506166,
138,0.015166,0.015166,39.905038,0.994316,0.976403,0.961089,0.961322,0.976527,0.988997,0.619141,0.932005,0.969530,0.982188,89.498911,
139,3.463883,4.914389,39.375703,0.993727,0.975880,0.959357,0.957844,0.976361,0.989941,0.604235,0.923984,0.965707,0.980151,93.351233,
140,3.463883,3.463883,39.669584,0.994036,0.977500,0.960638,0.959032,0.978299,0.991603,0.611961,0.928035,0.967765,0.981377,93.892005,
141,0.027862,6.089716,40.198599,0.994913,0.979285,0.962989,0.962908,0.979716,0.992431,0.632241,0.939718,0.974216,0.985388,90.591024,
142,0.027862,0.027862,40.222504,0.994926,0.979302,0.962957,0.962879,0.979733,0.992487,0.633935,0.939885,0.974319,0.985472,90.603541,
143,3.528014,6.404233,39.760686,0.994045,0.977392,0.962620,0.960261,0.977538,0.990674,0.617541,0.928334,0.967593,0.981386,93.936949,
144,3.528014,3.528014,39.917454,0.994355,0.977799,0.961586,0.961109,0.977532,0.991369,0.621361,0.932233,0.970076,0.982981,94.267576,
145,0.063337,5.187802,40.312060,0.994770,0.979958,0.964193,0.964009,0.982282,0.991349,0.630844,0.939677,0.974896,0.985945,90.857319,
146,0.063337,0.063337,40.542634,0.995175,0.981014,0.965221,0.965749,0.983210,0.992161,0.640947,0.942616,0.976007,0.986555,91.174165,
147,2.530494,4.243165,40.411346,0.995250,0.979579,0.963259,0.966045,0.980302,0.991277,0.640662,0.940877,0.974341,0.985292,93.803868,
148,2.530494,2.530494,40.693682,0.995438,0.980766,0.965741,0.967285,0.980662,0.992210,0.649036,0.943452,0.976163,0.986628,94.248718,
149,0.031281,5.002601,41.036679,0.995851,0.982307,0.966936,0.968639,0.983225,0.993160,0.658585,0.948715,0.978594,0.987914,91.625641,
150,0.031281,0.031281,41.179627,0.996012,0.982970,0.967629,0.969972,0.983874,0.993491,0.663618,0.950328,0.979435,0.988436,91.845243,
151,3.850438,6.263443,40.830061,0.995691,0.981793,0.966266,0.967082,0.983695,0.992616,0.653220,0.945737,0.976673,0.986742,96.141462,
152,3.850438,3.850438,40.419700,0.995473,0.979300,0.962582,0.965221,0.980299,0.990880,0.646007,0.940160,0.973380,0.984189,95.237462,
153,0.046929,7.080356,40.850910,0.995636,0.981002,0.965534,0.967678,0.981954,0.991939,0.652537,0.945557,0.976648,0.986555,91.169693,
154,0.046929,0.046929,41.069092,0.995880,0.981884,0.966421,0.968927,0.982993,0.992515,0.660151,0.948805,0.978323,0.987630,91.518071,
155,4.150911,7.555734,41.259496,0.996148,0.982464,0.967001,0.969595,0.983142,0.993511,0.668117,0.953298,0.980639,0.989105,97.041745,
156,4.150911,4.150911,41.175348,0.995928,0.981913,0.967187,0.969128,0.982511,0.992607,0.664921,0.950263,0.978797,0.988020,96.743885,
157,0.021876,5.498892,41.127588,0.995996,0.982915,0.967339,0.971714,0.983982,0.992784,0.662465,0.952130,0.980168,0.988820,91.891666,
158,0.021876,0.021876,41.104020,0.995978,0.982864,0.967285,0.971560,0.983939,0.992781,0.661071,0.951940,0.980079,0.988783,91.875042,
159,3.275406,3.275406,40.159844,0.995195,0.979977,0.963483,0.966385,0.982623,0.989965,0.639189,0.937167,0.971105,0.983050,94.482325,
160,3.735420,3.735420,37.174582,0.989628,0.970807,0.946676,0.950960,0.972990,0.986929,0.509766,0.891263,0.951698,0.971404,91.336698,
161,0.037013,6.790879,37.991354,0.991484,0.974425,0.952344,0.955090,0.976550,0.989589,0.539422,0.907855,0.960979,0.977251,88.457173,
162,0.037013,0.037013,38.166883,0.991819,0.975102,0.953051,0.955845,0.977311,0.990149,0.546138,0.910306,0.962115,0.978130,88.708314,
163,4.576298,7.712319,38.600427,0.992577,0.975057,0.954835,0.957565,0.976701,0.989406,0.561441,0.918398,0.966381,0.980535,94.585489,
164,4.576298,4.576298,38.767985,0.992676,0.974980,0.957922,0.957475,0.974541,0.989675,0.571026,0.917959,0.964905,0.979704,94.431710,
165,0.018521,6.964184,39.355963,0.993899,0.978082,0.960170,0.962516,0.979111,0.990716,0.595798,0.931654,0.972154,0.984334,90.189974,
166,0.018521,0.018521,39.421681,0.994037,0.978175,0.960380,0.962735,0.979301,0.990634,0.598696,0.932604,0.972415,0.984479,90.229705,
167,3.309431,6.325298,39.035019,0.993456,0.976649,0.957012,0.960169,0.977329,0.990390,0.588852,0.924379,0.966930,0.980669,93.438132,
168,3.309431,3.309431,39.134012,0.993798,0.976797,0.956084,0.959292,0.977907,0.990832,0.591672,0.927340,0.968455,0.981321,93.592568,
169,0.059515,4.998381,39.798396,0.994660,0.978808,0.960496,0.963207,0.978550,0.992475,0.615703,0.938496,0.974315,0.985343,90.554128,
170,0.059515,0.059515,39.908312,0.994859,0.979093,0.960858,0.963530,0.978831,0.992721,0.620719,0.939958,0.974761,0.985480,90.641299,
171,3.156565,4.681316,39.477276,0.994740,0.977700,0.957931,0.961510,0.978821,0.991053,0.613408,0.933724,0.970915,0.983013,93.841010,
172,3.156565,3.156565,39.644597,0.994673,0.978141,0.960069,0.962388,0.977910,0.991985,0.616176,0.935046,0.972459,0.984192,94.099015,
173,0.022771,5.435977,39.149295,0.994298,0.975031,0.956313,0.959600,0.974261,0.989237,0.604075,0.926974,0.967168,0.980447,88.989192,
174,0.022771,0.022771,39.191310,0.994349,0.975137,0.956460,0.959833,0.974482,0.989180,0.605701,0.927558,0.967403,0.980654,89.036714,
175,3.776284,5.890747,39.148665,0.993877,0.974171,0.957851,0.958413,0.973986,0.987299,0.601043,0.924782,0.966205,0.980164,93.387632,
176,3.776284,3.776284,39.530113,0.994422,0.976610,0.958528,0.962257,0.975762,0.990078,0.610045,0.933168,0.971479,0.983440,94.419992,
177,0.061163,6.642452,39.958749,0.994644,0.979353,0.962175,0.964173,0.978775,0.992811,0.620334,0.938545,0.974370,0.985488,90.679442,
178,0.061163,0.061163,40.109707,0.994847,0.980200,0.962724,0.965698,0.979848,0.993250,0.626072,0.941075,0.975506,0.986276,90.971624,
179,2.385804,5.596035,39.992231,0.995007,0.978837,0.961210,0.965279,0.979528,0.990765,0.624457,0.940537,0.974480,0.985392,93.490967,
180,2.385804,2.385804,39.704298,0.994712,0.976787,0.960972,0.962555,0.976228,0.989387,0.619471,0.935733,0.971963,0.983790,92.801774,
